Rk,Player,Pos,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM
44,Saddiq Bey\beysa01,SF,12.6,567,9.3,7.6,1.3,0.6,7.4,18.7,3.3,-0.8
45,Tyler Bey\beyty01,SF,5.9,372,14.7,5.6,0.0,1.3,11.0,16.9,0.0,-9.6
46,Khem Birch\birchkh01,C,15.1,552,13.4,8.5,1.5,3.1,9.2,13.6,3.8,-1.3
46,Khem Birch\birchkh01,C,14.1,517,13.2,8.0,1.6,2.7,8.5,12.2,2.1,-2.2
46,Khem Birch\birchkh01,C,16.8,596,13.7,9.4,1.3,3.8,9.9,15.8,1.7,0.1
47,Goga Bitadze\bitadgo01,C,16.3,523,14.5,8.9,0.8,8.7,7.1,18.1,1.5,-1.2
48,Bismack Biyombo\biyombi01,C,11.7,574,13.9,8.3,0.6,5.4,19.8,11.5,2.3,-3.3
49,Nemanja Bjelica\bjeline01,PF,12.9,554,11.9,16.2,1.2,0.8,13.1,18.4,0.9,-2.5
49,Nemanja Bjelica\bjeline01,PF,12.7,555,12.6,15.3,0.9,0.4,14.3,19.3,0.5,-3.0
49,Nemanja Bjelica\bjeline01,PF,13.3,550,9.9,18.7,2.2,2.0,9.1,15.9,0.4,-1.2
50,Eric Bledsoe\bledser01,SG,11.5,533,6.3,17.3,1.2,1.1,12.3,18.5,2.3,-2.3
51,Keljin Blevins\blevike01,SF,-0.9,300,7.1,6.7,1.3,0.0,20.0,14.3,-0.2,-12.0
52,Bogdan Bogdanović\bogdabo01,SG,17.6,616,6.7,17.6,1.8,0.9,8.5,21.3,3.9,3.8
53,Bojan Bogdanović\bogdabo02,SF,14.0,588,6.7,9.1,1.0,0.1,10.9,22.8,5.2,-0.8
54,Bol Bol\bolbo01,PF,9.4,534,8.5,6.0,0.9,6.1,16.8,21.2,0.0,-4.4
55,Marques Bolden\boldema01,C,13.3,537,11.6,0.0,3.4,6.1,23.5,12.8,0.0,-2.8
56,Jordan Bone\bonejo01,PG,8.9,519,6.4,13.6,0.5,0.0,5.3,12.6,0.2,-4.2
57,Isaac Bonga\bongais01,SF,4.0,461,8.1,6.5,1.2,1.7,20.7,10.2,0.0,-6.4
58,Devin Booker\bookede01,SG,19.2,587,7.0,20.6,1.2,0.6,12.4,32.7,4.9,-0.1
59,Chris Boucher\bouchch01,C,21.9,634,15.3,6.9,1.2,7.6,6.7,20.5,6.1,2.9
60,Brian Bowen\bowenbr02,SF,1.0,338,10.8,0.0,0.0,0.0,0.0,12.6,0.0,-11.5
61,Avery Bradley\bradlav01,SG,6.3,487,5.2,10.8,1.7,0.5,13.6,14.9,-0.1,-5.7
61,Avery Bradley\bradlav01,SG,10.4,607,4.9,10.0,1.6,0.5,11.4,16.9,0.3,-3.2
61,Avery Bradley\bradlav01,SG,4.0,409,5.3,11.2,1.7,0.5,15.0,13.8,-0.4,-7.0
62,Tony Bradley\bradlto01,C,20.7,678,18.6,8.5,1.0,3.9,13.0,15.8,2.7,1.2
62,Tony Bradley\bradlto01,C,21.1,683,19.9,8.7,1.0,4.1,7.0,12.9,1.5,3.1
62,Tony Bradley\bradlto01,C,20.4,676,17.7,8.3,1.1,3.8,16.0,18.0,1.3,-0.1
63,Jarrell Brantley\brantja01,PF,16.6,605,10.4,16.1,2.5,1.2,13.1,19.0,0.5,2.1
64,Ignas Brazdeikis\brazdig01,SF,9.5,510,9.4,10.5,0.8,1.1,11.9,17.6,0.1,-5.7
64,Ignas Brazdeikis\brazdig01,SF,11.2,532,15.5,17.5,0.0,0.0,34.7,18.3,0.0,-4.8
64,Ignas Brazdeikis\brazdig01,SF,-12.0,0,13.8,0.0,0.0,0.0,0.0,16.1,-0.1,-23.2
64,Ignas Brazdeikis\brazdig01,SF,10.2,528,9.1,10.6,0.8,1.2,11.5,17.6,0.1,-5.1
65,Mikal Bridges\bridgmi01,SF,16.4,667,7.5,8.8,1.6,2.4,7.3,14.9,8.0,3.0
66,Miles Bridges\bridgmi02,PF,14.7,625,11.1,11.4,1.1,2.7,13.6,17.3,4.2,0.2
67,Amida Brimah\brimaam01,C,16.6,697,15.0,4.8,0.0,14.0,30.0,19.6,0.0,-4.0
68,Oshae Brissett\brissos01,SF,17.2,638,12.0,4.6,1.7,3.1,5.3,15.6,1.8,0.4
69,Malcolm Brogdon\brogdma01,PG,17.9,561,8.3,25.7,1.2,0.6,9.8,25.9,4.2,1.5
70,Armoni Brooks\brookar01,SG,10.4,565,7.0,8.7,1.1,0.9,10.0,17.9,0.3,-3.3
71,Dillon Brooks\brookdi01,SF,12.1,515,5.2,11.7,1.9,1.2,9.6,26.1,1.4,-3.9
72,Bruce Brown\brownbr01,PG,16.1,604,13.3,9.8,1.9,1.7,10.2,15.9,4.4,-0.3
73,Charlie Brown\brownch02,SG,4.1,422,5.8,8.2,1.3,1.2,11.2,14.9,-0.1,-8.9
74,Jaylen Brown\brownja02,SG,19.9,586,9.7,16.5,1.8,1.5,11.5,29.7,4.8,2.5
75,Moses Brown\brownmo01,C,18.8,572,21.6,1.7,1.6,4.5,11.7,16.9,2.6,-2.6
76,Sterling Brown\brownst02,SG,11.1,597,9.7,8.4,1.5,0.9,10.5,13.5,1.8,-1.7
77,Troy Brown Jr.\browntr01,SF,8.5,525,10.8,7.2,0.9,1.0,12.1,14.0,0.5,-4.3
77,Troy Brown Jr.\browntr01,SF,6.3,471,11.3,8.5,0.5,1.2,14.3,16.1,-0.1,-5.7
77,Troy Brown Jr.\browntr01,SF,11.2,616,10.3,5.6,1.4,0.7,8.0,11.5,0.5,-2.5
78,Jalen Brunson\brunsja01,PG,17.1,618,7.5,21.3,1.0,0.1,10.3,20.2,5.1,0.5
79,Elijah Bryant\bryanel01,SG,10.6,559,9.9,12.6,0.0,2.8,21.8,24.0,0.0,-7.7
80,Thomas Bryant\bryanth01,C,18.7,704,11.9,8.2,0.7,2.5,9.8,17.2,1.0,0.4
81,Reggie Bullock\bullore01,SF,11.1,606,6.2,7.4,1.3,0.5,7.1,14.4,4.6,-0.1
82,Trey Burke\burketr01,PG,12.6,544,3.3,12.9,1.9,0.7,8.0,20.0,1.4,-2.0
83,Alec Burks\burksal01,SG,14.8,564,9.8,13.2,1.2,1.1,8.2,21.3,3.3,0.9
84,Jimmy Butler\butleji01,SF,26.5,607,11.8,35.1,3.1,1.1,10.6,26.6,9.3,7.5
85,Bruno Caboclo\cabocbr01,PF,9.0,475,20.7,4.7,0.0,5.0,18.3,25.8,-0.1,-10.6
86,Devontae Cacok\cacokde01,PF,17.2,576,18.4,1.5,2.5,3.7,12.9,17.2,0.3,-0.7
87,Kentavious Caldwell-Pope\caldwke01,SG,10.7,588,5.3,9.2,1.6,1.2,10.6,14.2,4.2,-0.9
88,Facundo Campazzo\campafa01,PG,11.6,558,5.3,20.2,2.7,1.0,17.1,13.1,3.1,-0.8
89,Vlatko Čančar\cancavl01,PF,9.7,547,10.1,6.4,1.9,0.7,15.3,14.2,0.3,-2.7
90,Devin Cannady\cannade01,PG,11.2,547,3.5,2.1,3.3,1.2,6.0,19.3,0.1,-3.1
91,Clint Capela\capelca01,C,24.3,601,26.1,4.1,1.1,6.0,8.4,19.9,8.2,2.5
92,Vernon Carey Jr.\careyve01,C,11.7,563,12.7,2.6,0.4,4.3,10.9,17.2,0.2,-6.2
93,Jevon Carter\carteje01,PG,12.2,548,7.3,13.0,2.0,1.1,6.6,15.0,1.6,0.5
94,Wendell Carter Jr.\cartewe01,C,16.7,566,17.4,11.2,1.2,2.7,12.7,19.3,3.4,-1.5
94,Wendell Carter Jr.\cartewe01,C,16.3,578,17.5,12.3,1.1,2.6,14.0,19.1,2.1,-1.4
94,Wendell Carter Jr.\cartewe01,C,17.3,549,17.2,9.7,1.4,2.8,11.0,19.5,1.2,-1.8
95,Michael Carter-Williams\cartemi01,SG,9.5,449,9.0,24.3,1.5,1.9,18.4,20.2,-0.5,-4.6
96,Alex Caruso\carusal01,PG,11.1,547,7.9,18.1,2.6,1.1,18.3,14.8,2.4,-0.2
97,Willie Cauley-Stein\caulewi01,C,14.3,647,14.3,5.3,1.1,4.4,11.8,12.0,2.8,-1.6
98,Chris Chiozza\chiozch01,PG,12.9,461,5.7,36.9,1.5,2.3,14.4,21.0,0.3,-1.6
99,Marquese Chriss\chrisma01,PF,11.8,412,25.6,11.0,0.0,6.5,11.3,28.1,0.0,-3.2
100,Gary Clark\clarkga01,SF-PF,6.0,436,9.1,6.4,1.0,1.0,11.1,10.1,0.1,-4.9
100,Gary Clark\clarkga01,SF,6.1,439,9.1,6.4,0.9,1.0,11.2,10.3,0.1,-4.8
100,Gary Clark\clarkga01,SF,2.9,,14.2,0.0,0.0,0.0,,0.0,0.0,-8.3
100,Gary Clark\clarkga01,PF,3.8,0,8.5,9.0,3.7,0.0,0.0,3.3,0.0,-7.9
101,Brandon Clarke\clarkbr01,PF,17.3,560,12.3,9.5,2.0,3.2,5.7,17.2,4.2,1.3
102,Jordan Clarkson\clarkjo01,SG,17.1,549,8.0,15.3,1.6,0.4,9.2,29.7,4.2,1.1
103,Nicolas Claxton\claxtni01,C,16.9,612,15.4,6.4,1.9,5.9,9.4,14.0,1.9,0.3
104,Amir Coffey\coffeam01,SG,10.1,585,6.3,7.4,1.3,0.0,11.1,15.1,0.7,-2.6
105,John Collins\collijo01,PF,20.6,645,13.8,6.9,0.9,3.0,8.9,22.2,6.7,2.1
106,Mike Conley\conlemi01,PG,19.2,589,6.3,30.6,2.3,0.5,12.4,23.1,6.1,4.4
107,Pat Connaughton\connapa01,SG,11.3,578,11.1,6.3,1.5,1.3,7.5,11.6,3.5,-0.4
108,Quinn Cook\cookqu01,PG,12.7,531,6.1,18.3,1.3,0.6,8.9,21.8,0.2,-1.5
108,Quinn Cook\cookqu01,PG,13.8,585,4.5,12.5,0.8,1.4,9.6,21.9,0.1,-1.1
108,Quinn Cook\cookqu01,PG,12.0,496,7.1,22.1,1.6,0.0,8.5,21.7,0.1,-1.8
109,Tyler Cook\cookty01,SF-PF,12.8,659,12.1,5.9,0.9,0.4,15.1,13.9,0.8,-3.0
109,Tyler Cook\cookty01,PF,1.6,333,6.5,14.1,0.0,0.0,25.0,10.3,0.0,-6.8
109,Tyler Cook\cookty01,SF,13.2,667,12.3,5.6,0.9,0.4,14.8,14.1,0.8,-2.9
110,DeMarcus Cousins\couside01,C,16.4,537,20.0,16.3,2.3,3.0,15.8,24.5,1.2,0.7
110,DeMarcus Cousins\couside01,C,14.9,511,20.1,18.0,2.0,3.2,14.2,23.1,0.7,0.4
110,DeMarcus Cousins\couside01,C,20.3,597,19.6,12.4,3.1,2.6,19.3,27.7,0.5,1.4
111,Robert Covington\covinro01,PF,11.2,553,11.1,6.8,2.2,3.4,10.7,11.5,3.7,-0.3
